gene	stage_area	area	celltype_stage	celltype_region	cell_type	individual	gene.score	p_val_adj	diff.pct	enrichment.ratio	pct.1	pct.2	avg_logfc	stage_region	stage	region
C14orf166	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.31136	0	0.104	1.14188	0.837	0.733	0.27267	early_pfc	early	pfc
TXN	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.31007	0	0.066	1.09257	0.779	0.713	0.2838	early_pfc	early	pfc
SPCS2	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.31002999999999997	0	0.089	1.13994	0.725	0.636	0.27197	early_pfc	early	pfc
FTL	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.30934	0	-0.004	0.99599	0.995	0.999	0.31058	early_pfc	early	pfc
DDT	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.30547	1e-5	0.096	1.20042	0.575	0.479	0.25447	early_pfc	early	pfc
LSM7	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.30196	0	0.057	1.07116	0.858	0.801	0.2819	early_pfc	early	pfc
RPS26	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.3005	0	0.007	1.00719	0.98	0.973	0.29836	early_pfc	early	pfc
SUB1	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.29984	0	0.041	1.04729	0.908	0.867	0.2863	early_pfc	early	pfc
MT-ND2	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.29846	0	0.042	1.04492	0.977	0.935	0.28563	early_pfc	early	pfc
NGFRAP1	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.29609	0	0.029	1.03187	0.939	0.91	0.28695	early_pfc	early	pfc
ATP5G3	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.29186	0	0.065	1.08643	0.817	0.752	0.26864	early_pfc	early	pfc
SEC61G	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.29133	0	0.084	1.11699	0.802	0.718	0.26081	early_pfc	early	pfc
RBX1	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.29055	0	0.063	1.08214	0.83	0.767	0.2685	early_pfc	early	pfc
BTG3	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.29036	5e-5	0.078	1.15538	0.58	0.502	0.25132	early_pfc	early	pfc
SEPW1	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.28973	0	0.065	1.08312	0.847	0.782	0.26749	early_pfc	early	pfc
PEBP1	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.28653	0	0.025	1.02626	0.977	0.952	0.2792	early_pfc	early	pfc
FAU	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.28119	0	0	1	0.997	0.997	0.28119	early_pfc	early	pfc
MYL6	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.27826	0	0.007	1.00708	0.995	0.988	0.2763	early_pfc	early	pfc
NDUFB4	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.27804	0	0.047	1.05949	0.837	0.79	0.26243	early_pfc	early	pfc
PTN	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.27442	4.2e-4	0.026	1.03746	0.72	0.694	0.26451	early_pfc	early	pfc
TUBB2A	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.27374	0	0.057	1.06635	0.916	0.859	0.2567	early_pfc	early	pfc
VDAC2	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.2718	0	0.057	1.06859	0.888	0.831	0.25436	early_pfc	early	pfc
PSMA7	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.27173	0	0.067	1.08191	0.885	0.818	0.25115	early_pfc	early	pfc
RPL39	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.26911	0	0	1	1	1	0.26911	early_pfc	early	pfc
FABP5	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.26869	0.00542	0.03	1.03337	0.929	0.899	0.26001	early_pfc	early	pfc
RPS7	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.25665	0	-0.001	0.999	0.997	0.998	0.25691	early_pfc	early	pfc
CPSF2	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw17	301040.01619	1	0.273	273000	0.273	0	1.10271	early_pfc	early	pfc
PIGP	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw17	279045.26054	1	0.273	273000	0.273	0	1.02214	early_pfc	early	pfc
CAB39	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw17	276130.38916	1	0.273	273000	0.273	0	1.01147	early_pfc	early	pfc
