item1	item2	n
rg_temporal_mid	neuron_temporal_mid	106
rg_temporal_mid	neuron_v1_early	50
rg_temporal_mid	neuron_v1_late	43
rg_temporal_mid	neuron_v1_mid	91
rg_temporal_mid	rg_msp_early	54
rg_temporal_mid	rg_msp_late	106
rg_temporal_mid	rg_msp_mid	242
rg_temporal_mid	rg_pfc_early	35
rg_temporal_mid	rg_pfc_late	20
rg_temporal_mid	rg_pfc_mid	132
rg_temporal_mid	rg_temporal_early	18
rg_temporal_mid	rg_temporal_late	19
rg_temporal_mid	rg_temporal_mid	450
rg_temporal_mid	rg_v1_early	99
rg_temporal_mid	rg_v1_late	31
rg_temporal_mid	rg_v1_mid	146
rg_v1_early	neuron_msp_early	151
rg_v1_early	neuron_msp_late	174
rg_v1_early	neuron_msp_mid	264
rg_v1_early	neuron_pfc_early	54
rg_v1_early	neuron_pfc_late	62
rg_v1_early	neuron_pfc_mid	119
rg_v1_early	neuron_temporal_early	74
rg_v1_early	neuron_temporal_late	97
rg_v1_early	neuron_temporal_mid	121
rg_v1_early	neuron_v1_early	109
rg_v1_early	neuron_v1_late	43
rg_v1_early	neuron_v1_mid	160
rg_v1_early	rg_msp_early	65
rg_v1_early	rg_msp_late	93
rg_v1_early	rg_msp_mid	214
rg_v1_early	rg_pfc_early	27
rg_v1_early	rg_pfc_late	11
rg_v1_early	rg_pfc_mid	86
rg_v1_early	rg_temporal_early	12
rg_v1_early	rg_temporal_late	16
rg_v1_early	rg_temporal_mid	99
rg_v1_early	rg_v1_early	680
rg_v1_early	rg_v1_late	31
rg_v1_early	rg_v1_mid	119
rg_v1_late	neuron_msp_early	14
rg_v1_late	neuron_msp_late	44
rg_v1_late	neuron_msp_mid	40
rg_v1_late	neuron_pfc_early	12
rg_v1_late	neuron_pfc_late	3
rg_v1_late	neuron_pfc_mid	23
rg_v1_late	neuron_temporal_early	12
rg_v1_late	neuron_temporal_late	19
rg_v1_late	neuron_temporal_mid	35
rg_v1_late	neuron_v1_early	29
rg_v1_late	neuron_v1_late	36
rg_v1_late	neuron_v1_mid	38
rg_v1_late	rg_msp_early	14
rg_v1_late	rg_msp_late	30
rg_v1_late	rg_msp_mid	56
rg_v1_late	rg_pfc_early	8
rg_v1_late	rg_pfc_late	8
rg_v1_late	rg_pfc_mid	34
rg_v1_late	rg_temporal_early	8
rg_v1_late	rg_temporal_late	7
rg_v1_late	rg_temporal_mid	31
rg_v1_late	rg_v1_early	31
rg_v1_late	rg_v1_late	59
rg_v1_late	rg_v1_mid	42
rg_v1_mid	neuron_msp_early	133
rg_v1_mid	neuron_msp_late	136
rg_v1_mid	neuron_msp_mid	256
rg_v1_mid	neuron_pfc_early	124
rg_v1_mid	neuron_pfc_late	70
rg_v1_mid	neuron_pfc_mid	125
rg_v1_mid	neuron_temporal_early	23
rg_v1_mid	neuron_temporal_late	51
rg_v1_mid	neuron_temporal_mid	84
rg_v1_mid	neuron_v1_early	63
rg_v1_mid	neuron_v1_late	37
rg_v1_mid	neuron_v1_mid	192
rg_v1_mid	rg_msp_early	132
rg_v1_mid	rg_msp_late	186
rg_v1_mid	rg_msp_mid	462
rg_v1_mid	rg_pfc_early	33
rg_v1_mid	rg_pfc_late	27
rg_v1_mid	rg_pfc_mid	354
rg_v1_mid	rg_temporal_early	15
rg_v1_mid	rg_temporal_late	15
rg_v1_mid	rg_temporal_mid	146
rg_v1_mid	rg_v1_early	119
rg_v1_mid	rg_v1_late	42
rg_v1_mid	rg_v1_mid	926
