	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
AKAP1	0.00262736367977431	0.432832132254026	0.571	0.107	1	motor	AKAP1
CALM1	0.00263365380110014	0.599949857033176	1	0.929	1	motor	CALM1
HPCAL1	0.00279424638903256	0.745920830805388	0.857	0.232	1	motor	HPCAL1
THOC7	0.00279424638903256	0.5885063881225	0.857	0.232	1	motor	THOC7
TRMU	0.00284178530428701	0.459475983885425	0.429	0.054	1	motor	TRMU
TOB1	0.00284178530428701	0.338489424286249	0.429	0.054	1	motor	TOB1
MAP2K5	0.00284178530428701	0.297385592170268	0.429	0.054	1	motor	MAP2K5
XBP1	0.00284178530428701	0.297262873865966	0.429	0.054	1	motor	XBP1
TUBA4A	0.00284327030240374	0.408657616314144	0.714	0.143	1	motor	TUBA4A
RAB11B	0.00285630852868076	0.747953673194604	1	0.321	1	motor	RAB11B
CCNY	0.00294047149430207	0.710649179737678	0.571	0.107	1	motor	CCNY
PACS2	0.00294047149430207	0.70488028846472	0.571	0.107	1	motor	PACS2
HDLBP	0.00294047149430207	0.471920967507456	0.571	0.107	1	motor	HDLBP
CDK16	0.00294047149430207	0.400395552322447	0.571	0.107	1	motor	CDK16
THYN1	0.00294047149430207	0.343079620905123	0.571	0.107	1	motor	THYN1
MRPL20	0.00300489754737259	0.744538434536079	1	0.304	1	motor	MRPL20
NAP1L3	0.00301392607149325	0.351472890729947	0.857	0.196	1	motor	NAP1L3
CLPP	0.00301449730757544	0.30087421801541	0.857	0.196	1	motor	CLPP
ZNF580	0.00307363644239779	0.603626417922051	0.714	0.161	1	motor	ZNF580
TBC1D7	0.00307363644239779	0.557460762925631	0.714	0.161	1	motor	TBC1D7
CMC2	0.00307363644239779	0.506610873592411	0.714	0.161	1	motor	CMC2
YTHDC1	0.00307363644239779	0.487760095339395	0.714	0.161	1	motor	YTHDC1
EVL	0.00307756929552837	0.628731916039232	1	0.536	1	motor	EVL
RCAN1	0.00307797112986213	0.840640155013741	0.714	0.196	1	motor	RCAN1
KCNIP4	0.00314427758215655	0.378078418572096	0.714	0.143	1	motor	KCNIP4
PTPRN2	0.00314427758215655	0.259362256598647	0.714	0.143	1	motor	PTPRN2
ADRA2C	0.00326718749710763	0.357544791009195	0.429	0.054	1	motor	ADRA2C
LRRC24	0.00328728277821315	0.49353147797268	0.571	0.107	1	motor	LRRC24
ITM2A	0.00328728277821315	0.492362542719079	0.571	0.107	1	motor	ITM2A
